Emitere factura in SmartBill,Emite factura
"<![CDATA[<div class='note'><span>Aici poti sa iti personalizezi mesajul pe care doresti sa-l trimiti catre client. Poti sa iti personalizezi mesajul folosind informatia existenta pe facturi, disponibila in contul SmartBill Cloud -&gt; Configurare -&gt; Email, precum :</span><ul><li> #tip document# </li><li> #link document# </li><li> #serie numar document# </li><li> #total document# </li><li> #data emiterii# </li><li> #data scadentei# </li><li> #mentiune# </li><li> #nume client# </li><li> #persoana contact# </li></ul><span>Pentru a folosi aceste variabile, ai nevoie sa le copiezi/inserezi incepand de la caracterul diez de inceput (#) pana la caracterul diez de final (#).</span> </div>]]>","<![CDATA[<div class='note'><span>Aici poti sa iti personalizezi mesajul pe care doresti sa-l trimiti catre client. Poti sa iti personalizezi mesajul folosind informatia existenta pe facturi, disponibila in contul SmartBill Cloud -&gt; Configurare -&gt; Email, precum :</span><ul><li> #tip document# </li><li> #link document# </li><li> #serie numar document# </li><li> #total document# </li><li> #data emiterii# </li><li> #data scadentei# </li><li> #mentiune# </li><li> #nume client# </li><li> #persoana contact# </li></ul><span>Pentru a folosi aceste variabile, ai nevoie sa le copiezi/inserezi incepand de la caracterul diez de inceput (#) pana la caracterul diez de final (#).</span> </div>]]>"
"Succes!","Succes!"
"EROARE","EROARE"
"Eroare la conexiunea la server:","Eroare la conexiunea la server:"
"SmartBill Cloud : Generare facturi","SmartBill Cloud : Generare facturi"
"Doresti sa generezi factura pentru aceasta comanda?","Doresti sa generezi factura pentru aceasta comanda?"
"SmartBill Cloud : Remitere facturi","SmartBill Cloud : Remitere facturi"
"Doresti sa remiti documentul in SmartBill Cloud?","Doresti sa remiti documentul in SmartBill Cloud?"
"SmartBill Cloud : retrimitere factura","SmartBill Cloud : retrimitere factura"
"Doresti sa retrimiti factura acestui client?","Doresti sa retrimiti factura acestui client?"
"Recomandam stergerea sau anularea facturii legate de aceasta comanda inainte de a face remiterea.","Recomandam stergerea sau anularea facturii legate de aceasta comanda inainte de a face remiterea."
"Date invalide furnizate in momentul citirii inregistrarilor din Magento","Date invalide furnizate in momentul citirii inregistrarilor din Magento"
"Datele de facturare furnizate sunt invalide","Datele de facturare furnizate sunt invalide"
"Documentul nu a fost gasit in baza de date.","Documentul nu a fost gasit in baza de date."
"Eroare la calcularea discount-ului pentru aceasta valoare.","Eroare la calcularea discount-ului pentru aceasta valoare."
"Eroare la calcularea TVA-ului pentru aceasta inregistrare.","Eroare la calcularea TVA-ului pentru aceasta inregistrare."
"Eroare la calcularea TVA-ului pentru aceste perechi de valori.","Eroare la calcularea TVA-ului pentru aceste perechi de valori."
"Eroare la conectarea la SmartBill Cloud pentru afisarea valorilor TVA.","Eroare la conectarea la SmartBill Cloud pentru afisarea valorilor TVA."
"Eroare la includerea transportului in factura.","Eroare la includerea transportului in factura."
"Eroare la setarea cotei TVA. Cota TVA furnizata de catre Magento (%1) nu este definita in SmartBill Cloud","Eroare la setarea cotei TVA. Cota TVA furnizata de catre Magento (%1) nu este definita in SmartBill Cloud"
"Eroare la trimiterea email-ului catre client.","Eroare la trimiterea email-ului catre client."
"invalid / empty response","invalid / empty response"
"Setari invalide pentru unitatile de masura din SmartBill Cloud","Setari invalide pentru unitatile de masura din SmartBill Cloud"
"Te rugam sa verifici daca ai setat compania ca neplatitoare de TVA si in Magento si in contul dvs. SmartBill Cloud. ","Te rugam sa verifici daca ai setat compania ca neplatitoare de TVA si in Magento si in contul dvs. SmartBill Cloud. "
